"Time","spgwu2","spgwu"
2022-07-25 22:47:30,108,83.1
2022-07-25 22:47:45,108,83.1
2022-07-25 22:48:00,106,129
2022-07-25 22:48:15,106,129
2022-07-25 22:48:30,90.6,97.5
2022-07-25 22:48:45,90.6,97.5
2022-07-25 22:49:00,87.4,41.1
2022-07-25 22:49:15,87.4,41.1
2022-07-25 22:49:30,108,124
2022-07-25 22:49:45,108,124
2022-07-25 22:50:00,65.9,48.1
2022-07-25 22:50:15,65.9,48.1
2022-07-25 22:50:30,69.0,87.5
2022-07-25 22:50:45,69,87.5
2022-07-25 22:51:00,60.2,84.6
2022-07-25 22:51:15,60.2,84.6
2022-07-25 22:51:30,102,87.6
2022-07-25 22:51:45,102,87.6
2022-07-25 22:52:00,95.6,85.9
2022-07-25 22:52:15,95.6,85.9
2022-07-25 22:52:30,92.6,100.0
2022-07-25 22:52:45,92.6,100
2022-07-25 22:53:00,124,149
2022-07-25 22:53:15,124,149
2022-07-25 22:53:30,123,141
2022-07-25 22:53:45,123,141
2022-07-25 22:54:00,191,90.8
2022-07-25 22:54:15,191,90.8
2022-07-25 22:54:30,223,271
2022-07-25 22:54:45,223,271
2022-07-25 22:55:00,241,270
2022-07-25 22:55:15,241,270
2022-07-25 22:55:30,238,292
2022-07-25 22:55:45,238,292
2022-07-25 22:56:00,351,245
2022-07-25 22:56:15,351,245
2022-07-25 22:56:30,210,227
2022-07-25 22:56:45,210,227
2022-07-25 22:57:00,228,281
2022-07-25 22:57:15,228,281
2022-07-25 22:57:30,193,276
2022-07-25 22:57:45,193,276
2022-07-25 22:58:00,337,261
2022-07-25 22:58:15,337,261
2022-07-25 22:58:30,235,212
2022-07-25 22:58:45,235,212
2022-07-25 22:59:00,303,276
2022-07-25 22:59:15,303,276
2022-07-25 22:59:30,280,307
2022-07-25 22:59:45,280,307
2022-07-25 23:00:00,267,319
2022-07-25 23:00:15,267,319
2022-07-25 23:00:30,261,133
2022-07-25 23:00:45,261,133
2022-07-25 23:01:00,246,338
2022-07-25 23:01:15,246,338
2022-07-25 23:01:30,268,298
2022-07-25 23:01:45,268,298
2022-07-25 23:02:00,302,285
2022-07-25 23:02:15,302,285
2022-07-25 23:02:30,273,150
2022-07-25 23:02:45,273,150
2022-07-25 23:03:00,182,315
2022-07-25 23:03:15,182,315
2022-07-25 23:03:30,260,304
2022-07-25 23:03:45,260,304
2022-07-25 23:04:00,363,224
2022-07-25 23:04:15,363,224
2022-07-25 23:04:30,119,246
2022-07-25 23:04:45,119,246
2022-07-25 23:05:00,357,187
2022-07-25 23:05:15,357,187
2022-07-25 23:05:30,222,263
2022-07-25 23:05:45,222,263
2022-07-25 23:06:00,143,242
2022-07-25 23:06:15,143,242
2022-07-25 23:06:30,245,193
2022-07-25 23:06:45,245,193
2022-07-25 23:07:00,206,216
2022-07-25 23:07:15,206,216
2022-07-25 23:07:30,236,190
