"Time","{container=""POD"", endpoint=""https-metrics"", id=""/kubepods/besteffort/pod04820779-9447-4d53-a7a3-da3d6244a882/a124adbc6c520567adfe77ba77ca8b846d61e6cd538fb91936378527d072a3cb"", image=""k8s.gcr.io/pause:3.4.1"", instance=""10.0.1.67:10250"", interface=""net2"", job=""kubelet"", metrics_path=""/metrics/cadvisor"", name=""k8s_POD_oai-spgwu3-5fd5bb6d57-nn4mk_oai_04820779-9447-4d53-a7a3-da3d6244a882_0"", namespace=""oai"", node=""soc-worker3"", pod=""oai-spgwu3-5fd5bb6d57-nn4mk"", service=""kubelet""}"
2022-07-24 19:16:15,53.7
2022-07-24 19:16:30,53.7
2022-07-24 19:16:45,74.1
2022-07-24 19:17:00,74.1
2022-07-24 19:17:15,118
2022-07-24 19:17:30,118
2022-07-24 19:17:45,85.1
2022-07-24 19:18:00,85.1
2022-07-24 19:18:15,92.2
2022-07-24 19:18:30,92.2
2022-07-24 19:18:45,88.4
2022-07-24 19:19:00,88.4
2022-07-24 19:19:15,116
2022-07-24 19:19:30,116
2022-07-24 19:19:45,106
2022-07-24 19:20:00,106
2022-07-24 19:20:15,96.7
2022-07-24 19:20:30,96.7
2022-07-24 19:20:45,120
2022-07-24 19:21:00,120
2022-07-24 19:21:15,110
2022-07-24 19:21:30,110
2022-07-24 19:21:45,113
2022-07-24 19:22:00,113
2022-07-24 19:22:15,93.6
2022-07-24 19:22:30,93.6
2022-07-24 19:22:45,127
2022-07-24 19:23:00,127
2022-07-24 19:23:15,92
2022-07-24 19:23:30,92
2022-07-24 19:23:45,141
2022-07-24 19:24:00,141
2022-07-24 19:24:15,87.9
2022-07-24 19:24:30,87.9
2022-07-24 19:24:45,106
2022-07-24 19:25:00,106
2022-07-24 19:25:15,120
2022-07-24 19:25:30,120
2022-07-24 19:25:45,89.7
2022-07-24 19:26:00,89.7
2022-07-24 19:26:15,100
2022-07-24 19:26:30,100
2022-07-24 19:26:45,117
2022-07-24 19:27:00,117
2022-07-24 19:27:15,98.8
2022-07-24 19:27:30,98.8
2022-07-24 19:27:45,82.5
2022-07-24 19:28:00,82.5
2022-07-24 19:28:15,102
2022-07-24 19:28:30,102
2022-07-24 19:28:45,78.9
2022-07-24 19:29:00,78.9
2022-07-24 19:29:15,68.4
2022-07-24 19:29:30,68.4
2022-07-24 19:29:45,77.9
2022-07-24 19:30:00,77.9
2022-07-24 19:30:15,77.4
2022-07-24 19:30:30,77.4
2022-07-24 19:30:45,108
2022-07-24 19:31:00,108
2022-07-24 19:31:15,78.9
2022-07-24 19:31:30,78.9
2022-07-24 19:31:45,68.9
2022-07-24 19:32:00,68.9
2022-07-24 19:32:15,70.9
2022-07-24 19:32:30,70.9
2022-07-24 19:32:45,43.7
2022-07-24 19:33:00,43.7
2022-07-24 19:33:15,69.0
2022-07-24 19:33:30,69.0
2022-07-24 19:33:45,81.7
2022-07-24 19:34:00,81.7
2022-07-24 19:34:15,53
2022-07-24 19:34:30,53
2022-07-24 19:34:45,48.4
2022-07-24 19:35:00,48.4
2022-07-24 19:35:15,43
2022-07-24 19:35:30,43
2022-07-24 19:35:45,42.4
2022-07-24 19:36:00,42.4
2022-07-24 19:36:15,35.8
2022-07-24 19:36:30,35.8
2022-07-24 19:36:45,44.0
2022-07-24 19:37:00,44.0
2022-07-24 19:37:15,39.4
2022-07-24 19:37:30,39.4
2022-07-24 19:37:45,40.3
2022-07-24 19:38:00,40.3
2022-07-24 19:38:15,18.1
2022-07-24 19:38:30,18.1
2022-07-24 19:38:45,38.3
2022-07-24 19:39:00,38.3
2022-07-24 19:39:15,51.6
2022-07-24 19:39:30,51.6
2022-07-24 19:39:45,18.1
2022-07-24 19:40:00,18.1
2022-07-24 19:40:15,53.7
2022-07-24 19:40:30,53.7
2022-07-24 19:40:45,66.6
2022-07-24 19:41:00,66.6
2022-07-24 19:41:15,34.6
2022-07-24 19:41:30,34.6
2022-07-24 19:41:45,90.5
2022-07-24 19:42:00,90.5
2022-07-24 19:42:15,97.2
2022-07-24 19:42:30,97.2
2022-07-24 19:42:45,97.3
2022-07-24 19:43:00,97.3
2022-07-24 19:43:15,93.4
2022-07-24 19:43:30,93.4
2022-07-24 19:43:45,99.8
2022-07-24 19:44:00,99.8
2022-07-24 19:44:15,74.0
2022-07-24 19:44:30,74.0
2022-07-24 19:44:45,101
2022-07-24 19:45:00,101
2022-07-24 19:45:15,119
2022-07-24 19:45:30,119
2022-07-24 19:45:45,77.9
2022-07-24 19:46:00,77.9
2022-07-24 19:46:15,117
2022-07-24 19:46:30,117
2022-07-24 19:46:45,67.6
2022-07-24 19:47:00,67.6
2022-07-24 19:47:15,99.5
2022-07-24 19:47:30,99.5
2022-07-24 19:47:45,114
2022-07-24 19:48:00,114
2022-07-24 19:48:15,132
2022-07-24 19:48:30,132
2022-07-24 19:48:45,82.0
2022-07-24 19:49:00,82.0
2022-07-24 19:49:15,116
2022-07-24 19:49:30,116
2022-07-24 19:49:45,58.9
2022-07-24 19:50:00,58.9
2022-07-24 19:50:15,99.3
2022-07-24 19:50:30,99.3
2022-07-24 19:50:45,110
2022-07-24 19:51:00,110
2022-07-24 19:51:15,105
2022-07-24 19:51:30,105
2022-07-24 19:51:45,147
2022-07-24 19:52:00,147
2022-07-24 19:52:15,95.8
2022-07-24 19:52:30,95.8
2022-07-24 19:52:45,98.8
2022-07-24 19:53:00,98.8
2022-07-24 19:53:15,59.4
2022-07-24 19:53:30,59.4
2022-07-24 19:53:45,111
2022-07-24 19:54:00,111
2022-07-24 19:54:15,73.4
2022-07-24 19:54:30,73.4
2022-07-24 19:54:45,93.1
2022-07-24 19:55:00,93.1
2022-07-24 19:55:15,73.7
2022-07-24 19:55:30,73.7
2022-07-24 19:55:45,92.9
2022-07-24 19:56:00,92.9
2022-07-24 19:56:15,81.6
2022-07-24 19:56:30,81.6
2022-07-24 19:56:45,65.5
2022-07-24 19:57:00,65.5
2022-07-24 19:57:15,55.2
2022-07-24 19:57:30,55.2
2022-07-24 19:57:45,56.3
2022-07-24 19:58:00,56.3
2022-07-24 19:58:15,53.4
2022-07-24 19:58:30,53.4
2022-07-24 19:58:45,24.6
2022-07-24 19:59:00,24.6
2022-07-24 19:59:15,68.9
2022-07-24 19:59:30,68.9
2022-07-24 19:59:45,31.9
2022-07-24 20:00:00,31.9
2022-07-24 20:00:15,37.8
2022-07-24 20:00:30,37.8
2022-07-24 20:00:45,35.9
2022-07-24 20:01:00,35.9
2022-07-24 20:01:15,33
2022-07-24 20:01:30,33
2022-07-24 20:01:45,32.5
2022-07-24 20:02:00,32.5
2022-07-24 20:02:15,28.6
2022-07-24 20:02:30,28.6
2022-07-24 20:02:45,27.8
2022-07-24 20:03:00,27.8
2022-07-24 20:03:15,30.0
2022-07-24 20:03:30,30.0
2022-07-24 20:03:45,44.1
2022-07-24 20:04:00,44.1
2022-07-24 20:04:15,41
2022-07-24 20:04:30,41
2022-07-24 20:04:45,38.4
2022-07-24 20:05:00,38.4
2022-07-24 20:05:15,57.4
2022-07-24 20:05:30,57.4
2022-07-24 20:05:45,74.2
2022-07-24 20:06:00,74.2
2022-07-24 20:06:15,73.8
2022-07-24 20:06:30,73.8
2022-07-24 20:06:45,80.1
2022-07-24 20:07:00,80.1
2022-07-24 20:07:15,95.3
2022-07-24 20:07:30,95.3
2022-07-24 20:07:45,69.6
2022-07-24 20:08:00,69.6
2022-07-24 20:08:15,106
2022-07-24 20:08:30,106
2022-07-24 20:08:45,81.6
2022-07-24 20:09:00,81.6
2022-07-24 20:09:15,90.8
2022-07-24 20:09:30,90.8
2022-07-24 20:09:45,120
2022-07-24 20:10:00,120
2022-07-24 20:10:15,95.9
2022-07-24 20:10:30,95.9
2022-07-24 20:10:45,100
2022-07-24 20:11:00,100
2022-07-24 20:11:15,101
2022-07-24 20:11:30,101
2022-07-24 20:11:45,132
2022-07-24 20:12:00,132
2022-07-24 20:12:15,105
2022-07-24 20:12:30,105
2022-07-24 20:12:45,58.7
2022-07-24 20:13:00,58.7
2022-07-24 20:13:15,133
2022-07-24 20:13:30,133
2022-07-24 20:13:45,132
2022-07-24 20:14:00,132
2022-07-24 20:14:15,99.3
2022-07-24 20:14:30,99.3
2022-07-24 20:14:45,111
2022-07-24 20:15:00,111
2022-07-24 20:15:15,78.1
2022-07-24 20:15:30,78.1
2022-07-24 20:15:45,123
2022-07-24 20:16:00,123
2022-07-24 20:16:15,100
2022-07-24 20:16:30,100
2022-07-24 20:16:45,99.1
2022-07-24 20:17:00,99.1
2022-07-24 20:17:15,81.5
2022-07-24 20:17:30,81.5
2022-07-24 20:17:45,88.1
2022-07-24 20:18:00,88.1
2022-07-24 20:18:15,72.6
2022-07-24 20:18:30,72.6
2022-07-24 20:18:45,89.1
2022-07-24 20:19:00,89.1
2022-07-24 20:19:15,114
2022-07-24 20:19:30,114
2022-07-24 20:19:45,77.2
2022-07-24 20:20:00,77.2
2022-07-24 20:20:15,67.6
2022-07-24 20:20:30,67.6
2022-07-24 20:20:45,61.3
2022-07-24 20:21:00,61.3
2022-07-24 20:21:15,69.7
2022-07-24 20:21:30,69.7
2022-07-24 20:21:45,73.4
2022-07-24 20:22:00,73.4
2022-07-24 20:22:15,0.300
2022-07-24 20:22:30,0.300
2022-07-24 20:22:45,0.633
2022-07-24 20:23:00,0.633
2022-07-24 20:23:15,0.567
2022-07-24 20:23:30,0.567
2022-07-24 20:23:45,0.533
2022-07-24 20:24:00,0.533
2022-07-24 20:24:15,0.567

