"Time","{container=""POD"", endpoint=""https-metrics"", id=""/kubepods/besteffort/pod3db28395-2137-47dc-bd8e-65dcd590e8c6/8261f072fdfd0ae72711f0bbb57b458bf58187aa65f6a0608aca56ab18409ea0"", image=""k8s.gcr.io/pause:3.4.1"", instance=""10.0.1.67:10250"", interface=""net2"", job=""kubelet"", metrics_path=""/metrics/cadvisor"", name=""k8s_POD_oai-spgwu-5fd5bb6d57-6v648_oai_3db28395-2137-47dc-bd8e-65dcd590e8c6_0"", namespace=""oai"", node=""soc-worker3"", pod=""oai-spgwu-5fd5bb6d57-6v648"", service=""kubelet""}"
2022-07-23 19:00:00,54.0
2022-07-23 19:00:15,54.0
2022-07-23 19:00:30,57.2
2022-07-23 19:00:45,57.2
2022-07-23 19:01:00,60.7
2022-07-23 19:01:15,60.7
2022-07-23 19:01:30,34.3
2022-07-23 19:01:45,34.3
2022-07-23 19:02:00,67.9
2022-07-23 19:02:15,67.9
2022-07-23 19:02:30,64.2
2022-07-23 19:02:45,64.2
2022-07-23 19:03:00,35.0
2022-07-23 19:03:15,35.0
2022-07-23 19:03:30,88.8
2022-07-23 19:03:45,88.8
2022-07-23 19:04:00,88.0
2022-07-23 19:04:15,88.0
2022-07-23 19:04:30,88.2
2022-07-23 19:04:45,88.2
2022-07-23 19:05:00,130
2022-07-23 19:05:15,130
2022-07-23 19:05:30,81.0
2022-07-23 19:05:45,81.0
2022-07-23 19:06:00,180
2022-07-23 19:06:15,180
2022-07-23 19:06:30,95.2
2022-07-23 19:06:45,95.2
2022-07-23 19:07:00,219
2022-07-23 19:07:15,219
2022-07-23 19:07:30,129
2022-07-23 19:07:45,129
2022-07-23 19:08:00,170
2022-07-23 19:08:15,170
2022-07-23 19:08:30,103
2022-07-23 19:08:45,103
2022-07-23 19:09:00,234
2022-07-23 19:09:15,234
2022-07-23 19:09:30,107
2022-07-23 19:09:45,107
2022-07-23 19:10:00,233
2022-07-23 19:10:15,233
2022-07-23 19:10:30,72.8
2022-07-23 19:10:45,72.8
2022-07-23 19:11:00,204
2022-07-23 19:11:15,204
2022-07-23 19:11:30,226
2022-07-23 19:11:45,226
2022-07-23 19:12:00,220
2022-07-23 19:12:15,220
2022-07-23 19:12:30,188
2022-07-23 19:12:45,188
2022-07-23 19:13:00,141
2022-07-23 19:13:15,141
2022-07-23 19:13:30,209
2022-07-23 19:13:45,209
2022-07-23 19:14:00,112
2022-07-23 19:14:15,112
2022-07-23 19:14:30,209
2022-07-23 19:14:45,209
2022-07-23 19:15:00,160
2022-07-23 19:15:15,160
2022-07-23 19:15:30,210
2022-07-23 19:15:45,210
2022-07-23 19:16:00,94.1
2022-07-23 19:16:15,94.1
2022-07-23 19:16:30,199
2022-07-23 19:16:45,199
2022-07-23 19:17:00,79.3
2022-07-23 19:17:15,79.3
2022-07-23 19:17:30,184
2022-07-23 19:17:45,184
2022-07-23 19:18:00,147
2022-07-23 19:18:15,147
2022-07-23 19:18:30,158
2022-07-23 19:18:45,158
2022-07-23 19:19:00,122
2022-07-23 19:19:15,122
2022-07-23 19:19:30,127
2022-07-23 19:19:45,127
2022-07-23 19:20:00,125
2022-07-23 19:20:15,125
2022-07-23 19:20:30,77.2
2022-07-23 19:20:45,77.2
2022-07-23 19:21:00,99.4
2022-07-23 19:21:15,99.4
2022-07-23 19:21:30,0.667
2022-07-23 19:21:45,0.667
2022-07-23 19:22:00,0.667
2022-07-23 19:22:15,0.667
2022-07-23 19:22:30,0.600
2022-07-23 19:22:45,0.600
2022-07-23 19:23:00,0.533
2022-07-23 19:23:15,0.533

