"Time","{container=""POD"", endpoint=""https-metrics"", id=""/kubepods/besteffort/pod339c179a-11e8-4db8-a2c4-d436c9660c02/c50bfa066e752765c5a93e2f3995b99bbfdb6b09425ac0293f686d402c64dc9d"", image=""k8s.gcr.io/pause:3.4.1"", instance=""10.0.1.67:10250"", interface=""net2"", job=""kubelet"", metrics_path=""/metrics/cadvisor"", name=""k8s_POD_oai-spgwu2-5fd5bb6d57-xsm8m_oai_339c179a-11e8-4db8-a2c4-d436c9660c02_0"", namespace=""oai"", node=""soc-worker3"", pod=""oai-spgwu2-5fd5bb6d57-xsm8m"", service=""kubelet""}"
2022-07-23 22:04:45,116
2022-07-23 22:05:00,73.9
2022-07-23 22:05:15,73.9
2022-07-23 22:05:30,185
2022-07-23 22:05:45,185
2022-07-23 22:06:00,142
2022-07-23 22:06:15,142
2022-07-23 22:06:30,125
2022-07-23 22:06:45,125
2022-07-23 22:07:00,146
2022-07-23 22:07:15,146
2022-07-23 22:07:30,141
2022-07-23 22:07:45,141
2022-07-23 22:08:00,114
2022-07-23 22:08:15,114
2022-07-23 22:08:30,167
2022-07-23 22:08:45,167
2022-07-23 22:09:00,89.4
2022-07-23 22:09:15,89.4
2022-07-23 22:09:30,143
2022-07-23 22:09:45,143
2022-07-23 22:10:00,132
2022-07-23 22:10:15,132
2022-07-23 22:10:30,118
2022-07-23 22:10:45,118
2022-07-23 22:11:00,147
2022-07-23 22:11:15,147
2022-07-23 22:11:30,157
2022-07-23 22:11:45,157
2022-07-23 22:12:00,114
2022-07-23 22:12:15,114
2022-07-23 22:12:30,124
2022-07-23 22:12:45,124
2022-07-23 22:13:00,124
2022-07-23 22:13:15,124
2022-07-23 22:13:30,110
2022-07-23 22:13:45,110
2022-07-23 22:14:00,62.1
2022-07-23 22:14:15,62.1
2022-07-23 22:14:30,140
2022-07-23 22:14:45,140
2022-07-23 22:15:00,134
2022-07-23 22:15:15,134
2022-07-23 22:15:30,60.0
2022-07-23 22:15:45,60.0
2022-07-23 22:16:00,104
2022-07-23 22:16:15,104
2022-07-23 22:16:30,144
2022-07-23 22:16:45,144
2022-07-23 22:17:00,85.3
2022-07-23 22:17:15,85.3
2022-07-23 22:17:30,53.4
2022-07-23 22:17:45,53.4
2022-07-23 22:18:00,88.6
2022-07-23 22:18:15,88.6
2022-07-23 22:18:30,81.2
2022-07-23 22:18:45,81.2
2022-07-23 22:19:00,59.8
2022-07-23 22:19:15,59.8
2022-07-23 22:19:30,80.5
2022-07-23 22:19:45,80.5
2022-07-23 22:20:00,70.8
2022-07-23 22:20:15,70.8
2022-07-23 22:20:30,44.5
2022-07-23 22:20:45,44.5
2022-07-23 22:21:00,45.5
2022-07-23 22:21:15,45.5
2022-07-23 22:21:30,58.9
2022-07-23 22:21:45,58.9
2022-07-23 22:22:00,48.5
2022-07-23 22:22:15,48.5
2022-07-23 22:22:30,46.9
2022-07-23 22:22:45,46.9
2022-07-23 22:23:00,43.2
2022-07-23 22:23:15,43.2
2022-07-23 22:23:30,48.6
2022-07-23 22:23:45,48.6
2022-07-23 22:24:00,19.7
2022-07-23 22:24:15,19.7
2022-07-23 22:24:30,58.1
2022-07-23 22:24:45,58.1
2022-07-23 22:25:00,65.9
2022-07-23 22:25:15,65.9
2022-07-23 22:25:30,38.9
2022-07-23 22:25:45,38.9
2022-07-23 22:26:00,68.5
2022-07-23 22:26:15,68.5
2022-07-23 22:26:30,86.8
2022-07-23 22:26:45,86.8
2022-07-23 22:27:00,128
2022-07-23 22:27:15,128
2022-07-23 22:27:30,97.0
2022-07-23 22:27:45,97.0
2022-07-23 22:28:00,132
2022-07-23 22:28:15,132
2022-07-23 22:28:30,109
2022-07-23 22:28:45,109
2022-07-23 22:29:00,117
2022-07-23 22:29:15,117
2022-07-23 22:29:30,81.2
2022-07-23 22:29:45,81.2
2022-07-23 22:30:00,136
2022-07-23 22:30:15,136
2022-07-23 22:30:30,142
2022-07-23 22:30:45,142
2022-07-23 22:31:00,153
2022-07-23 22:31:15,153
2022-07-23 22:31:30,133
2022-07-23 22:31:45,133
2022-07-23 22:32:00,123
2022-07-23 22:32:15,123
2022-07-23 22:32:30,134
2022-07-23 22:32:45,134
2022-07-23 22:33:00,146
2022-07-23 22:33:15,146
2022-07-23 22:33:30,60.9
2022-07-23 22:33:45,60.9
2022-07-23 22:34:00,178
2022-07-23 22:34:15,178
2022-07-23 22:34:30,102
2022-07-23 22:34:45,102
2022-07-23 22:35:00,128
2022-07-23 22:35:15,128
2022-07-23 22:35:30,127
2022-07-23 22:35:45,127
2022-07-23 22:36:00,84.6
2022-07-23 22:36:15,84.6
2022-07-23 22:36:30,149
2022-07-23 22:36:45,149
2022-07-23 22:37:00,161
